Year,DOY,NEE_F,GPP_F,RE_F,ET,TA_F_1_1_1,P,VPD_F_1_1_1,SW_IN_F,PPFD_IN,SWC_1_1_1,SWC_1_2_1,SWC_1_3_1,SWC_1_4_1,SWC_1_5_1,WP_1,WP_2,WP_3,WP_4,WP_5
2019,167,-0.135494343,0.186828284,0.051333939,1.474313837,22.02171521,0.762,18.82549108,751.4796435,1246.600007,2.133941176,10.34882353,9.120588235,10.01882353,5.267882353,-3.489023269,-0.485285026,-0.722869499,-0.546254809,-1.761338354
2019,168,-0.120101169,0.169972536,0.049871363,1.377997822,21.19394756,0,17.02749484,783.6016739,1101.012635,2.447823529,9.958235294,9.093529412,10.06,5.234823529,-3.228749232,-0.557588716,-0.728469328,-0.538627803,-1.773211146
2019,169,-0.163643583,0.214570136,0.050926552,1.415576498,21.79711135,0,18.06619099,803.2225931,1378.554635,2.274411765,9.678235294,9.093529412,10.01764706,5.245705882,-3.367056581,-0.611248856,-0.728473274,-0.546422095,-1.769262201
2019,170,-0.140859203,0.196582439,0.055723239,1.808004971,24.54721989,0,24.02629765,814.2559307,1784.826612,2.030882353,9.409411765,9.114117647,10.00764706,5.247176471,-3.586047541,-0.664241895,-0.724221541,-0.548284279,-1.768728546
2019,171,-0.138999465,0.198535152,0.059535689,1.608194644,26.72680407,0,30.62683511,817.723178,1741.653412,1.712882353,8.866470588,9.155882353,10.10352941,5.247882353,-3.914308419,-0.77611323,-0.715598882,-0.530399249,-1.768472132
2019,172,-0.143744127,0.197366848,0.053622718,1.329961446,23.35448214,0,22.6595979,847.1044413,1643.484,1.551352941,8.288823529,9.160588235,10.16470588,5.236235294,-4.10285999,-0.903094112,-0.714630642,-0.518999743,-1.772695115
2019,173,-0.178560647,0.222496169,0.043935525,1.283994163,17.72440534,0,14.38411894,743.993806,1745.025318,1.529941176,7.887529412,9.191764706,10.16588235,5.234117647,-4.131940212,-0.996755571,-0.708233624,-0.518782871,-1.773463752
2019,174,-0.166853308,0.211614204,0.044760897,1.259003276,18.19660451,0,17.44784541,751.4796435,1772.427388,1.487764706,7.694705882,9.205294118,10.17941176,5.224705882,-4.18439872,-1.043490319,-0.705470461,-0.516301458,-1.776883374
2019,175,-0.151770021,0.20295354,0.05118352,1.401454249,21.93884174,0,23.01531629,783.6016739,1788.9668,1.365411765,7.441176471,9.215294118,10.15941176,5.214411765,-4.350580289,-1.106797721,-0.703427029,-0.519984533,-1.780631302
2019,176,-0.145917388,0.202503823,0.056586438,1.488540955,25.0387157,0,28.74176853,803.2225931,1737.470541,1.227,7.207470588,9.233529412,10.22705882,5.206882353,-4.559799171,-1.167086244,-0.699703618,-0.50751399,-1.783377164
2019,177,-0.150879466,0.207959846,0.057080376,1.565799722,25.32656438,0,28.98441909,814.2559307,1694.340024,1.112529412,6.968176471,9.265882353,10.21529412,5.196588235,-4.747407613,-1.230972502,-0.693115107,-0.509665849,-1.787137948
2019,178,-0.139332328,0.197345946,0.058013617,1.555970405,25.8565017,0,28.35249069,817.723178,1780.665082,1.079058824,6.809470588,9.289411765,10.23470588,5.184352941,-4.804900371,-1.274549163,-0.688340671,-0.506115651,-1.791618666
2019,179,-0.132463936,0.193316226,0.060852289,1.591338793,27.46890105,0,32.73765953,847.1044413,1695.791224,1.005529412,6.675470588,9.315294118,10.26,5.165823529,-4.944032989,-1.31215457,-0.683102278,-0.501483524,-1.798423823
2019,180,-0.135133106,0.1958855,0.060752392,1.375265079,27.41644418,0,28.47889931,743.993806,1289.156447,1.042882353,6.571647059,9.294705882,10.29588235,5.153764706,-4.86813886,-1.341831581,-0.687268927,-0.49494046,-1.802865462
2019,181,-0.133506695,0.193606022,0.060099329,1.428862368,27.04614811,0.762,26.64927707,751.4796435,1240.805878,1.050294118,6.515470588,9.286470588,10.29823529,5.141529412,-4.854593093,-1.358099822,-0.688935514,-0.494538056,-1.807385976
2019,182,-0.124512087,0.183326644,0.058814561,1.565351592,26.31226147,0,25.04204502,783.6016739,1656.416753,1.264882353,6.534058824,9.275294118,10.27823529,5.117647059,-4.496396215,-1.352828151,-0.691204523,-0.498153191,-1.816234355
2019,183,-0.128491249,0.18857374,0.060082488,1.454786963,27.03365851,0,28.90451478,803.2225931,1706.739247,1.048411765,6.489823529,9.255882353,10.27235294,5.099941176,-4.862812149,-1.365648995,-0.69514875,-0.499216737,-1.822822229
2019,184,-0.142588477,0.201972489,0.059384011,1.567746541,26.63777374,0,31.38731338,847.2299989,1781.198612,0.894,6.376882353,9.260588235,10.25529412,5.084941176,-5.176048183,-1.398963432,-0.694194709,-0.502320474,-1.828421383
2019,185,-0.139167479,0.197539901,0.058372425,1.430122588,26.06371786,0,29.05138283,798.8312938,1774.838941,0.797529412,6.219588235,9.220588235,10.26470588,5.066117647,-5.39395838,-1.446253134,-0.70234396,-0.50059018,-1.835473519
2019,186,-0.133622227,0.193579782,0.05995755,1.485504572,26.96564969,0,32.26916369,805.3814492,1773.793224,0.738176471,6.101647059,9.211764706,10.25764706,5.050823529,-5.545978148,-1.48267164,-0.704144388,-0.501888743,-1.84122131
2019,187,-0.131112502,0.186058657,0.054946156,1.32380262,25.22865107,0,28.04071493,714.6199647,1454.614588,0.772470588,5.986470588,9.180588235,10.29294118,5.032882353,-5.453279941,-1.518841624,-0.710527125,-0.495454876,-1.847986447
2019,188,-0.135260462,0.185959251,0.050698789,1.212251257,24.57807788,0,22.33718229,745.2363765,1542.881694,0.798882353,5.960588235,9.159411765,10.28705882,5.010529412,-5.387072663,-1.52710648,-0.714876091,-0.49656508,-1.856452708
2019,189,-0.139324327,0.186008305,0.046683977,1.72162997,24.06142301,0,24.57595551,877.5786882,1771.509718,0.966117647,5.938588235,9.11,10.25941176,4.988705882,-5.017390711,-1.534118072,-0.725060788,-0.5015643,-1.864752304
2019,190,-0.138823612,0.184427738,0.045604123,1.407660389,25.60891436,0,30.22091296,883.0798294,1771.445694,0.830647059,5.965588235,9.092352941,10.23941176,4.969588235,-5.323099224,-1.525556889,-0.728714009,-0.505227258,-1.872052904
2019,191,-0.114300697,0.160616768,0.046316074,1.417724534,28.78231871,0,36.43922146,875.6476765,1765.619553,0.680235294,5.900529412,9.039411765,10.24823529,4.953352941,-5.715250443,-1.546245716,-0.739708939,-0.503621699,-1.87827706
2019,192,-0.11291429,0.160086953,0.047172661,1.395375991,29.17877276,0,34.55119373,849.0952,1735.400447,0.593352941,5.814470588,8.982941176,10.25294118,4.927352941,-5.978899438,-1.573930266,-0.75150933,-0.502791048,-1.888287131
2019,193,-0.123458498,0.17443147,0.050972971,0.398636958,28.59175165,0,32.80445333,791.9756812,1533.5556,0.587875,5.746,8.936875,10.21375,4.9043125,-5.969849564,-1.59631969,-0.761206895,-0.509982645,-1.897202218
2019,194,-0.113842117,0.169567938,0.055725822,1.365982495,28.70133607,0,30.96273026,656.2403,1372.066918,0.816411765,5.709411765,8.872941176,10.29882353,4.869352941,-5.405937287,-1.608507832,-0.774728767,-0.494426336,-1.910811794
2019,195,-0.088595185,0.143690543,0.055095354,1.825174926,27.39439355,0,25.76943742,604.7422765,1268.754282,1.264470588,5.700294118,8.840588235,10.25,4.848411765,-4.532141302,-1.611569415,-0.781602948,-0.503410727,-1.91900832
2019,196,-0.106632314,0.164250074,0.057617759,0.813091207,30.00127286,0,33.98901371,832.6324824,1661.525055,1.587666667,5.9624,8.772,10.2,4.828733333,-4.059087605,-1.526720892,-0.796283221,-0.512500682,-1.926747087
2019,197,-0.114274224,0.170566239,0.056292012,1.511280359,30.22086701,0,34.78582273,863.1311824,1777.101106,1.117529412,5.981411765,8.709411765,10.15352941,4.802882353,-4.752672828,-1.520350657,-0.809780613,-0.521062326,-1.936959928
2019,198,-0.103256491,0.155692682,0.052436191,1.48877829,28.72926672,0,32.87046126,833.5684882,1670.992776,0.863,5.786,8.635882353,10.10294118,4.759647059,-5.240788758,-1.583199057,-0.825763199,-0.53044312,-1.954179884
2019,199,-0.095374968,0.145514243,0.050139274,1.213183927,28.23931959,0,31.68167093,818.2545235,1650.846706,0.749411765,5.730882353,8.567058824,10.10647059,4.625764706,-5.510093881,-1.601336596,-0.8408435,-0.529800859,-2.008571506
2019,200,-0.084902229,0.137240179,0.052337948,1.239301376,29.64695674,0,34.43194872,810.7357235,1661.730706,0.716882353,5.706,8.495882353,10.11117647,4.521294118,-5.59708361,-1.609698076,-0.856574204,-0.52893424,-2.052025588
2019,201,-0.100384332,0.152603772,0.052219438,1.325605382,29.10669974,0,37.43832994,854.8617235,1720.312235,0.665058824,5.694705882,8.435882353,10.05470588,4.466588235,-5.750203862,-1.613488097,-0.869929669,-0.539455417,-2.075230246
2019,202,-0.099463635,0.153497626,0.054033991,1.474961334,29.89522565,0,37.61249439,851.6101118,1733.906565,0.614529412,5.649705882,8.365882353,10.02176471,4.421352941,-5.90940838,-1.62863311,-0.885648876,-0.545632546,-2.094600632
2019,203,-0.104994638,0.159081029,0.054086387,1.350184084,28.96354402,0,30.98408533,840.3372529,1728.677976,0.561235294,5.606352941,8.292352941,10.01470588,4.398235294,-6.079798155,-1.643184387,-0.902301041,-0.546986131,-2.104603798
2019,204,-0.119667842,0.173199302,0.053531458,1.306339031,26.59877653,0,23.01737981,826.1127706,1718.989082,0.566764706,5.586764706,8.21,9.986470588,4.355235294,-6.055217109,-1.64984586,-0.921122374,-0.552268266,-2.123300559
2019,205,-0.1087733,0.167417303,0.058643998,1.26919377,27.86662547,0,25.75505453,741.2646882,1554.064471,0.625941176,5.574,8.137058824,10.01705882,4.337235294,-5.866841267,-1.654198915,-0.937951277,-0.546588781,-2.13118697
2019,206,-0.040288257,0.09776278,0.057474522,3.503883271,25.45377644,4.572,17.73733224,679.3238882,1419.102871,6.978588235,5.745823529,8.041176471,9.934705882,4.298058824,-1.303042477,-1.59701183,-0.960314406,-0.56206271,-2.148464497
2019,207,-0.045898415,0.109136137,0.063237722,3.039608135,27.12731378,0,22.78819032,767.5327353,1606.393035,11.22823529,7.108,7.978647059,9.875882353,4.264941176,-0.334789278,-1.19572387,-0.975042727,-0.573185622,-2.163200427
2019,208,-0.065089108,0.130857923,0.065768816,1.981253183,27.47792722,0,24.54013924,741.2115824,1537.268965,8.755294118,8.009705882,7.894529412,9.858823529,4.241941176,-0.800001128,-0.969542584,-0.995051575,-0.576449398,-2.173494882
2019,209,-0.083007557,0.151859304,0.068851744,1.518521352,28.09248364,0,28.23511942,692.7081824,1435.514235,7.832058824,8.587647059,7.838,9.87,4.210058824,-1.010490988,-0.837578004,-1.008626549,-0.574445343,-2.187889739
2019,210,-0.098340759,0.170220652,0.071879891,1.723717837,29.53765994,0,35.85947472,844.2454118,1716.278753,7.069411765,8.826470588,7.806823529,9.744117647,4.189470588,-1.203705736,-0.785858696,-1.016142853,-0.59844664,-2.197216533
